"","rawRT","key","slide_type","workerid","image","audio","Answer.condition","Answer.time_in_minutes","slide_number","age_group","qud"
"146","1216","No","trial_2",1,"13","summa.wav","all_QUD",16.4025166666667,69,"age1","all"
"147","2551","Yes","trial_2",1,"8","eight.wav","all_QUD",16.4025166666667,70,"age1","all"
"148","2601","Yes","trial_2",1,"11","summa.wav","all_QUD",16.4025166666667,71,"age1","all"
"149","978","No","trial_2",1,"2","none.wav","all_QUD",16.4025166666667,72,"age1","all"
"150","1650","No","trial_2",1,"11","all.wav","all_QUD",16.4025166666667,73,"age1","all"
"151","1100","No","trial_2",1,"13","summa.wav","all_QUD",16.4025166666667,74,"age1","all"
"152","1566","Yes","trial_2",1,"0","none.wav","all_QUD",16.4025166666667,75,"age1","all"
"153","1164","No","trial_2",1,"2","twelve.wav","all_QUD",16.4025166666667,76,"age1","all"
"154","1396","Yes","trial_2",1,"13","all.wav","all_QUD",16.4025166666667,77,"age1","all"
"155","1869","Yes","trial_2",1,"13","all.wav","all_QUD",16.4025166666667,78,"age1","all"
"156","1245","Yes","trial_2",1,"5","five.wav","all_QUD",16.4025166666667,79,"age1","all"
"157","1436","No","trial_2",1,"5","nine.wav","all_QUD",16.4025166666667,80,"age1","all"
"158","7581","Yes","trial_2",1,"11","eleven.wav","all_QUD",16.4025166666667,81,"age1","all"
"159","1142","No","trial_2",1,"0","all.wav","all_QUD",16.4025166666667,82,"age1","all"
"160","1042","No","trial_2",1,"0","summa.wav","all_QUD",16.4025166666667,83,"age1","all"
"161","0","Mary","bot_check",2,"Mary","","any_QUD",13.7938,1,"age1","any"
"162","0","Four","audio_check",2,"","","any_QUD",13.7938,3,"age1","any"
"163","0","Jam","comprehension_check_1",2,"","","any_QUD",13.7938,4,"age1","any"
"164","2601","No","practice_trial",2,"13","none.wav","any_QUD",13.7938,6,"age1","any"
"165","1440","Yes","practice_trial",2,"13","all.wav","any_QUD",13.7938,7,"age1","any"
"166","1843","No","practice_trial",2,"0","all.wav","any_QUD",13.7938,8,"age1","any"
"167","3368","Yes","practice_trial",2,"0","none.wav","any_QUD",13.7938,9,"age1","any"
"168","1705","No","trial_1",2,"0","none.wav","any_QUD",13.7938,11,"age1","any"
"169","2370","No","trial_1",2,"5","all.wav","any_QUD",13.7938,12,"age1","any"
"170","2076","Yes","trial_1",2,"2","two.wav","any_QUD",13.7938,13,"age1","any"
"171","10655","No","trial_1",2,"13","summa.wav","any_QUD",13.7938,14,"age1","any"
"172","1730","Yes","trial_1",2,"8","summa.wav","any_QUD",13.7938,15,"age1","any"
"173","1823","No","trial_1",2,"2","all.wav","any_QUD",13.7938,16,"age1","any"
"174","878","Yes","trial_1",2,"13","all.wav","any_QUD",13.7938,17,"age1","any"
"175","1331","Yes","trial_1",2,"13","all.wav","any_QUD",13.7938,18,"age1","any"
"176","4263","No","trial_1",2,"13","eight.wav","any_QUD",13.7938,19,"age1","any"
"177","1652","Yes","trial_1",2,"2","two.wav","any_QUD",13.7938,20,"age1","any"
"178","2481","No","trial_1",2,"8","eleven.wav","any_QUD",13.7938,21,"age1","any"
"179","7558","No","trial_1",2,"11","thirteen.wav","any_QUD",13.7938,22,"age1","any"
"180","2233","No","trial_1",2,"8","none.wav","any_QUD",13.7938,23,"age1","any"
"181","2467","No","trial_1",2,"0","summa.wav","any_QUD",13.7938,24,"age1","any"
"182","3290","Yes","trial_1",2,"8","eight.wav","any_QUD",13.7938,25,"age1","any"
"183","3362","No","trial_1",2,"13","summa.wav","any_QUD",13.7938,26,"age1","any"
"184","2320","No","trial_1",2,"0","five.wav","any_QUD",13.7938,27,"age1","any"
"185","2162","No","trial_1",2,"5","four.wav","any_QUD",13.7938,28,"age1","any"
"186","1860","No","trial_1",2,"13","summa.wav","any_QUD",13.7938,29,"age1","any"
"187","1885","Yes","trial_1",2,"13","all.wav","any_QUD",13.7938,30,"age1","any"
"188","1271","Yes","trial_1",2,"13","all.wav","any_QUD",13.7938,31,"age1","any"
"189","2230","Yes","trial_1",2,"8","eight.wav","any_QUD",13.7938,32,"age1","any"
"190","1565","Yes","trial_1",2,"5","five.wav","any_QUD",13.7938,33,"age1","any"
"191","1421","No","trial_1",2,"0","all.wav","any_QUD",13.7938,34,"age1","any"
"192","2432","No","trial_1",2,"0","eleven.wav","any_QUD",13.7938,35,"age1","any"
"193","1742","No","trial_1",2,"5","ten.wav","any_QUD",13.7938,36,"age1","any"
"194","1985","No","trial_1",2,"11","none.wav","any_QUD",13.7938,37,"age1","any"
"195","1952","Yes","trial_1",2,"0","none.wav","any_QUD",13.7938,38,"age1","any"
"196","4416","Yes","trial_1",2,"11","eleven.wav","any_QUD",13.7938,39,"age1","any"
"197","1199","Yes","trial_1",2,"2","two.wav","any_QUD",13.7938,40,"age1","any"
"198","1709","No","trial_1",2,"13","summa.wav","any_QUD",13.7938,41,"age1","any"
"199","1842","Yes","trial_1",2,"5","summa.wav","any_QUD",13.7938,42,"age1","any"
"200","2021","No","trial_1",2,"11","all.wav","any_QUD",13.7938,43,"age1","any"
"201","1577","Yes","trial_1",2,"2","two.wav","any_QUD",13.7938,44,"age1","any"
"202","1553","No","trial_1",2,"0","summa.wav","any_QUD",13.7938,45,"age1","any"
"203","5545","No","trial_1",2,"11","seven.wav","any_QUD",13.7938,46,"age1","any"
"204","0","Jam","comprehension_check_2",2,"","","any_QUD",13.7938,47,"age1","any"
"205","3902","Yes","trial_2",2,"8","eight.wav","any_QUD",13.7938,48,"age1","any"
"206","1524","No","trial_2",2,"0","three.wav","any_QUD",13.7938,49,"age1","any"
"207","1875","Yes","trial_2",2,"0","none.wav","any_QUD",13.7938,50,"age1","any"
"208","1566","No","trial_2",2,"5","two.wav","any_QUD",13.7938,51,"age1","any"
"209","899","Yes","trial_2",2,"13","all.wav","any_QUD",13.7938,52,"age1","any"
"210","1002","Yes","trial_2",2,"2","two.wav","any_QUD",13.7938,53,"age1","any"
