"","image","Answer.condition","workerid","Answer.time_in_minutes","audio","rawRT","key","slide_number","slide_type"
"306","13","any_QUD",3,16.7661666666667,"all.wav","1792","Yes",69,"trial_2"
"307","11","any_QUD",3,16.7661666666667,"summa.wav","2032","Yes",70,"trial_2"
"308","11","any_QUD",3,16.7661666666667,"eleven.wav","2119","Yes",71,"trial_2"
"309","11","any_QUD",3,16.7661666666667,"all.wav","1737","No",72,"trial_2"
"310","2","any_QUD",3,16.7661666666667,"twelve.wav","1883","Yes",73,"trial_2"
"311","2","any_QUD",3,16.7661666666667,"two.wav","1624","Yes",74,"trial_2"
"312","13","any_QUD",3,16.7661666666667,"summa.wav","1603","No",75,"trial_2"
"313","0","any_QUD",3,16.7661666666667,"summa.wav","1721","No",76,"trial_2"
"314","5","any_QUD",3,16.7661666666667,"nine.wav","1909","No",77,"trial_2"
"315","13","any_QUD",3,16.7661666666667,"summa.wav","1995","No",78,"trial_2"
"316","13","any_QUD",3,16.7661666666667,"all.wav","993","Yes",79,"trial_2"
"317","13","any_QUD",3,16.7661666666667,"five.wav","1822","No",80,"trial_2"
"318","8","any_QUD",3,16.7661666666667,"two.wav","1825","No",81,"trial_2"
"319","0","any_QUD",3,16.7661666666667,"none.wav","1795","Yes",82,"trial_2"
"320","5","any_QUD",3,16.7661666666667,"five.wav","1695","Yes",83,"trial_2"
"321","Jessica","any_QUD",4,7.09095,"","0","JESSICA",1,"bot_check"
"322","","any_QUD",4,7.09095,"","0","Four",3,"audio_check"
"323","","any_QUD",4,7.09095,"","0","Jam",4,"comprehension_check_1"
"324","13","any_QUD",4,7.09095,"none.wav","1582068677670","Yes",6,"practice_trial"
"325","13","any_QUD",4,7.09095,"all.wav","2270","Yes",7,"practice_trial"
"326","0","any_QUD",4,7.09095,"all.wav","1947","Yes",8,"practice_trial"
