"audio","Answer.time_in_minutes","response","workerid","slide_type","slide_number","Answer.condition","image","speaker_cond"
"none.wav",7.63001666666667,"[1378, 'No']",1,"trial_2",65,"all_QUD","13","all"
"nine.wav",7.63001666666667,"[1321, 'No']",1,"trial_2",66,"all_QUD","5","all"
"none.wav",7.63001666666667,"[1082, 'No']",1,"trial_2",67,"all_QUD","2","all"
"all.wav",7.63001666666667,"[1251, 'No']",1,"trial_2",68,"all_QUD","11","all"
"all.wav",7.63001666666667,"[1163, 'No']",1,"trial_2",69,"all_QUD","0","all"
"two.wav",7.63001666666667,"[940, 'Yes']",1,"trial_2",70,"all_QUD","2","all"
"all.wav",7.63001666666667,"[837, 'Yes']",1,"trial_2",71,"all_QUD","13","all"
"five.wav",7.63001666666667,"[1108, 'No']",1,"trial_2",72,"all_QUD","13","all"
"five.wav",7.63001666666667,"[853, 'Yes']",1,"trial_2",73,"all_QUD","5","all"
"some.wav",7.63001666666667,"[1218, 'No']",1,"trial_2",74,"all_QUD","13","all"
"some.wav",7.63001666666667,"[1109, 'No']",1,"trial_2",75,"all_QUD","13","all"
"all.wav",7.63001666666667,"[1113, 'Yes']",1,"trial_2",76,"all_QUD","13","all"
"none.wav",7.63001666666667,"[1564, 'Yes']",1,"trial_2",77,"all_QUD","0","all"
"some.wav",7.63001666666667,"[1470, 'Yes']",1,"trial_2",78,"all_QUD","11","all"
"some.wav",7.63001666666667,"[2747, 'No']",1,"trial_2",79,"all_QUD","0","all"
"eleven.wav",7.63001666666667,"[3635, 'Yes']",1,"trial_2",80,"all_QUD","11","all"
"two.wav",7.63001666666667,"[1364, 'No']",1,"trial_2",81,"all_QUD","8","all"
"twelve.wav",7.63001666666667,"[1114, 'No']",1,"trial_2",82,"all_QUD","2","all"
"eight.wav",7.63001666666667,"[869, 'Yes']",1,"trial_2",83,"all_QUD","8","all"
"",15.1379666666667,"[0, 'Elizabeth']",2,"bot_check",1,"all_QUD","Elizabeth","all"
"",15.1379666666667,"[0, 'Four']",2,"audio_check",3,"all_QUD","","all"
"",15.1379666666667,"[0, 'Empty']",2,"comprehension_check_1",4,"all_QUD","","all"
"none.wav",15.1379666666667,"[34192, 'No']",2,"practice_trial",6,"all_QUD","13","all"
"all.wav",15.1379666666667,"[3821, 'No']",2,"practice_trial",7,"all_QUD","13","all"
"all.wav",15.1379666666667,"[4520, 'No']",2,"practice_trial",8,"all_QUD","0","all"
"none.wav",15.1379666666667,"[3398, 'Yes']",2,"practice_trial",9,"all_QUD","0","all"
