"","X","Answer.time_in_minutes","rawRT","key","Answer.condition","slide_type","workerid","slide_number","image","audio","speaker_cond","logRT","rt"
"175",2287,6.95023333333333,695,"Yes","all_QUD","trial_1",28,40,"13","some.wav","allQUD",6.54391184556479,695
"176",2297,6.95023333333333,1234,"Yes","all_QUD","trial_2",28,50,"13","some.wav","allQUD",7.11801620446533,1234
"177",2309,6.95023333333333,1158,"Yes","all_QUD","trial_2",28,62,"13","some.wav","allQUD",7.05444965813294,1158
"178",2328,6.95023333333333,2530,"Yes","all_QUD","trial_2",28,81,"13","some.wav","allQUD",7.83597458172157,2530
"179",2339,8.07986666666667,1652,"Yes","all_QUD","trial_1",29,12,"13","some.wav","allQUD",7.40974195408092,1652
"180",2350,8.07986666666667,1332,"Yes","all_QUD","trial_1",29,23,"13","some.wav","allQUD",7.19443685110033,1332
"181",2356,8.07986666666667,1253,"Yes","all_QUD","trial_1",29,29,"13","some.wav","allQUD",7.13329595489607,1253
"182",2367,8.07986666666667,1345,"Yes","all_QUD","trial_1",29,40,"13","some.wav","allQUD",7.20414929203594,1345
"183",2385,8.07986666666667,1329,"Yes","all_QUD","trial_2",29,58,"13","some.wav","allQUD",7.19218205871325,1329
"184",2388,8.07986666666667,1280,"Yes","all_QUD","trial_2",29,61,"13","some.wav","allQUD",7.15461535691366,1280
"185",2396,8.07986666666667,1603,"Yes","all_QUD","trial_2",29,69,"13","some.wav","allQUD",7.37963215260955,1603
"186",2406,8.07986666666667,1194,"Yes","all_QUD","trial_2",29,79,"13","some.wav","allQUD",7.08506429395255,1194
"187",2428,9.02423333333333,2377,"No","all_QUD","trial_1",30,21,"13","some.wav","allQUD",7.77359446736019,2377
"188",2431,9.02423333333333,3916,"Yes","all_QUD","trial_1",30,24,"13","some.wav","allQUD",8.2728260036504,3916
"189",2440,9.02423333333333,2629,"Yes","all_QUD","trial_1",30,33,"13","some.wav","allQUD",7.87435882472988,2629
"190",2452,9.02423333333333,1968,"No","all_QUD","trial_1",30,45,"13","some.wav","allQUD",7.5847730776122,1968
"191",2455,9.02423333333333,1503,"No","all_QUD","trial_2",30,48,"13","some.wav","allQUD",7.31521838975297,1503
"192",2469,9.02423333333333,1707,"No","all_QUD","trial_2",30,62,"13","some.wav","allQUD",7.44249272279444,1707
"193",2479,9.02423333333333,1537,"No","all_QUD","trial_2",30,72,"13","some.wav","allQUD",7.3375877435386,1537
"194",2490,9.02423333333333,1574,"No","all_QUD","trial_2",30,83,"13","some.wav","allQUD",7.36137542897735,1574
"195",2662,8.30568333333333,2679,"No","all_QUD","trial_1",33,12,"13","some.wav","allQUD",7.89319886954461,2679
"196",2676,8.30568333333333,1717,"Yes","all_QUD","trial_1",33,26,"13","some.wav","allQUD",7.44833386089748,1717
"197",2680,8.30568333333333,1265,"Yes","all_QUD","trial_1",33,30,"13","some.wav","allQUD",7.14282740116162,1265
"198",2692,8.30568333333333,1260,"Yes","all_QUD","trial_1",33,42,"13","some.wav","allQUD",7.13886699994552,1260
"199",2707,8.30568333333333,1367,"Yes","all_QUD","trial_2",33,57,"13","some.wav","allQUD",7.22037383672395,1367
"200",2709,8.30568333333333,1337,"Yes","all_QUD","trial_2",33,59,"13","some.wav","allQUD",7.19818357710194,1337
"201",2716,8.30568333333333,1305,"Yes","all_QUD","trial_2",33,66,"13","some.wav","allQUD",7.17395831975679,1305
"202",2718,8.30568333333333,1071,"Yes","all_QUD","trial_2",33,68,"13","some.wav","allQUD",6.97634807044775,1071
"203",2744,8.27988333333333,2257,"No","all_QUD","trial_1",34,14,"13","some.wav","allQUD",7.72179177681754,2257
"204",2746,8.27988333333333,1434,"No","all_QUD","trial_1",34,16,"13","some.wav","allQUD",7.26822302115957,1434
"205",2767,8.27988333333333,1579,"No","all_QUD","trial_1",34,37,"13","some.wav","allQUD",7.36454701425564,1579
"206",2775,8.27988333333333,1150,"No","all_QUD","trial_1",34,45,"13","some.wav","allQUD",7.0475172213573,1150
"207",2788,8.27988333333333,1266,"No","all_QUD","trial_2",34,58,"13","some.wav","allQUD",7.14361760270412,1266
"208",2790,8.27988333333333,1627,"No","all_QUD","trial_2",34,60,"13","some.wav","allQUD",7.39449310721904,1627
"209",2805,8.27988333333333,1091,"No","all_QUD","trial_2",34,75,"13","some.wav","allQUD",6.99484998583307,1091
"210",2812,8.27988333333333,1165,"No","all_QUD","trial_2",34,82,"13","some.wav","allQUD",7.0604763659998,1165
"211",2907,8.32206666666667,1964,"No","all_QUD","trial_1",36,17,"13","some.wav","allQUD",7.58273848891441,1964
"212",2915,8.32206666666667,1441,"No","all_QUD","trial_1",36,25,"13","some.wav","allQUD",7.27309259599952,1441
"213",2919,8.32206666666667,2378,"No","all_QUD","trial_1",36,29,"13","some.wav","allQUD",7.77401507725073,2378
"214",2934,8.32206666666667,1223,"No","all_QUD","trial_1",36,44,"13","some.wav","allQUD",7.10906213568717,1223
"215",2947,8.32206666666667,1401,"No","all_QUD","trial_2",36,57,"13","some.wav","allQUD",7.24494154633701,1401
"216",2949,8.32206666666667,924,"No","all_QUD","trial_2",36,59,"13","some.wav","allQUD",6.82871207164168,924
"217",2962,8.32206666666667,1463,"No","all_QUD","trial_2",36,72,"13","some.wav","allQUD",7.28824440102012,1463
"218",2965,8.32206666666667,1204,"No","all_QUD","trial_2",36,75,"13","some.wav","allQUD",7.09340462586877,1204
"219",2991,10.3404333333333,1787,"Yes","all_QUD","trial_1",37,21,"13","some.wav","allQUD",7.48829351515943,1787
"220",2994,10.3404333333333,1564,"Yes","all_QUD","trial_1",37,24,"13","some.wav","allQUD",7.35500192110526,1564
"221",3000,10.3404333333333,1546,"Yes","all_QUD","trial_1",37,30,"13","some.wav","allQUD",7.34342622914737,1546
"222",3001,10.3404333333333,1243,"Yes","all_QUD","trial_1",37,31,"13","some.wav","allQUD",7.12528309151071,1243
"223",3030,10.3404333333333,2850,"No","all_QUD","trial_2",37,60,"13","some.wav","allQUD",7.9550742732627,2850
"224",3034,10.3404333333333,2737,"No","all_QUD","trial_2",37,64,"13","some.wav","allQUD",7.91461770904068,2737
"225",3036,10.3404333333333,2337,"No","all_QUD","trial_2",37,66,"13","some.wav","allQUD",7.75662333453886,2337
"226",3047,10.3404333333333,1842,"No","all_QUD","trial_2",37,77,"13","some.wav","allQUD",7.51860721681525,1842
"227",3072,8.6267,2064,"Yes","all_QUD","trial_1",38,22,"13","some.wav","allQUD",7.63240112660145,2064
"228",3078,8.6267,1576,"Yes","all_QUD","trial_1",38,28,"13","some.wav","allQUD",7.36264527041782,1576
"229",3087,8.6267,1395,"Yes","all_QUD","trial_1",38,37,"13","some.wav","allQUD",7.24064969425547,1395
"230",3094,8.6267,1256,"Yes","all_QUD","trial_1",38,44,"13","some.wav","allQUD",7.13568734702814,1256
"231",3100,8.6267,1195,"Yes","all_QUD","trial_2",38,50,"13","some.wav","allQUD",7.08590146436561,1195
"232",3102,8.6267,1201,"Yes","all_QUD","trial_2",38,52,"13","some.wav","allQUD",7.09090982207998,1201
