"","slide_type","image","slide_number","Answer.condition","workerid","Answer.time_in_minutes","rawRT","key","audio"
"153","trial_2","11",75,"any_QUD",1,9.23113333333333,"1123","No","all.wav"
"154","trial_2","5",76,"any_QUD",1,9.23113333333333,"1015","Yes","five.wav"
"155","trial_2","0",77,"any_QUD",1,9.23113333333333,"1184","No","some.wav"
"156","trial_2","0",78,"any_QUD",1,9.23113333333333,"944","No","all.wav"
"157","trial_2","2",79,"any_QUD",1,9.23113333333333,"1146","Yes","two.wav"
"158","trial_2","0",80,"any_QUD",1,9.23113333333333,"887","Yes","none.wav"
"159","trial_2","8",81,"any_QUD",1,9.23113333333333,"1330","No","two.wav"
"160","trial_2","13",82,"any_QUD",1,9.23113333333333,"833","Yes","all.wav"
"161","trial_2","13",83,"any_QUD",1,9.23113333333333,"19","Late","some.wav"
"162","bot_check","Jessica",1,"any_QUD",2,9.02876666666667,"0","Jessica",""
"163","audio_check","",3,"any_QUD",2,9.02876666666667,"0","Four",""
"164","comprehension_check_1","",4,"any_QUD",2,9.02876666666667,"0","Empty",""
"165","comprehension_check_1","",4,"any_QUD",2,9.02876666666667,"0","Silent",""
"166","comprehension_check_1","",4,"any_QUD",2,9.02876666666667,"0","Jam",""
"167","practice_trial","13",6,"any_QUD",2,9.02876666666667,"70","Yes","none.wav"
"168","practice_trial","13",7,"any_QUD",2,9.02876666666667,"1582049500920","No","all.wav"
"169","practice_trial","0",8,"any_QUD",2,9.02876666666667,"1582049504671","No","all.wav"
"170","practice_trial","0",9,"any_QUD",2,9.02876666666667,"209","Yes","none.wav"
"171","trial_1","8",11,"any_QUD",2,9.02876666666667,"73","Yes","eleven.wav"
"172","trial_1","0",12,"any_QUD",2,9.02876666666667,"7","Yes","five.wav"
"173","trial_1","8",13,"any_QUD",2,9.02876666666667,"1582049524434","No","eight.wav"
"174","trial_1","13",14,"any_QUD",2,9.02876666666667,"1582049528039","Yes","eight.wav"
"175","trial_1","5",15,"any_QUD",2,9.02876666666667,"17","Yes","all.wav"
"176","trial_1","0",16,"any_QUD",2,9.02876666666667,"1582049535969","Yes","some.wav"
"177","trial_1","13",17,"any_QUD",2,9.02876666666667,"1582049539751","No","all.wav"
"178","trial_1","13",18,"any_QUD",2,9.02876666666667,"1582049544024","Yes","some.wav"
"179","trial_1","8",19,"any_QUD",2,9.02876666666667,"531","No","some.wav"
"180","trial_1","2",20,"any_QUD",2,9.02876666666667,"1582049552322","Yes","two.wav"
"181","trial_1","13",21,"any_QUD",2,9.02876666666667,"1582049555836","No","all.wav"
"182","trial_1","2",22,"any_QUD",2,9.02876666666667,"1582049559420","Yes","two.wav"
"183","trial_1","13",23,"any_QUD",2,9.02876666666667,"1582049562927","No","some.wav"
"184","trial_1","2",24,"any_QUD",2,9.02876666666667,"1582049566728","Yes","all.wav"
"185","trial_1","8",25,"any_QUD",2,9.02876666666667,"10","Yes","thirteen.wav"
"186","trial_1","0",26,"any_QUD",2,9.02876666666667,"1582049573983","Yes","none.wav"
"187","trial_1","5",27,"any_QUD",2,9.02876666666667,"1582049577623","No","four.wav"
"188","trial_1","8",28,"any_QUD",2,9.02876666666667,"1582049581442","No","none.wav"
"189","trial_1","5",29,"any_QUD",2,9.02876666666667,"421","Late","ten.wav"
"190","trial_1","8",30,"any_QUD",2,9.02876666666667,"1582049589154","No","eight.wav"
"191","trial_1","0",31,"any_QUD",2,9.02876666666667,"1582049592574","No","some.wav"
"192","trial_1","0",32,"any_QUD",2,9.02876666666667,"1582049596120","No","eleven.wav"
"193","trial_1","11",33,"any_QUD",2,9.02876666666667,"146","Yes","all.wav"
"194","trial_1","13",34,"any_QUD",2,9.02876666666667,"1582049603953","No","some.wav"
"195","trial_1","11",35,"any_QUD",2,9.02876666666667,"93","Yes","seven.wav"
"196","trial_1","0",36,"any_QUD",2,9.02876666666667,"135","Yes","none.wav"
"197","trial_1","2",37,"any_QUD",2,9.02876666666667,"1582049615330","Yes","two.wav"
"198","trial_1","11",38,"any_QUD",2,9.02876666666667,"1582049618920","Yes","eleven.wav"
"199","trial_1","0",39,"any_QUD",2,9.02876666666667,"1582049622433","No","all.wav"
"200","trial_1","13",40,"any_QUD",2,9.02876666666667,"136","Yes","all.wav"
"201","trial_1","13",41,"any_QUD",2,9.02876666666667,"1582049629945","No","some.wav"
"202","trial_1","5",42,"any_QUD",2,9.02876666666667,"1582049633489","Yes","some.wav"
"203","trial_1","5",43,"any_QUD",2,9.02876666666667,"1582049636936","Yes","five.wav"
"204","trial_1","13",44,"any_QUD",2,9.02876666666667,"1582049640272","No","all.wav"
"205","trial_1","2",45,"any_QUD",2,9.02876666666667,"1582049643624","Yes","two.wav"
"206","trial_1","0",46,"any_QUD",2,9.02876666666667,"1582049646858","No","none.wav"
"207","comprehension_check_2","",47,"any_QUD",2,9.02876666666667,"0","Jam",""
"208","trial_2","0",48,"any_QUD",2,9.02876666666667,"1582049661231","Yes","none.wav"
"209","trial_2","13",49,"any_QUD",2,9.02876666666667,"1582049664621","No","some.wav"
"210","trial_2","5",50,"any_QUD",2,9.02876666666667,"65","No","two.wav"
"211","trial_2","13",51,"any_QUD",2,9.02876666666667,"1582049671848","No","ten.wav"
"212","trial_2","5",52,"any_QUD",2,9.02876666666667,"1582049675432","Yes","five.wav"
"213","trial_2","11",53,"any_QUD",2,9.02876666666667,"8","No","one.wav"
"214","trial_2","5",54,"any_QUD",2,9.02876666666667,"1582049683518","No","all.wav"
"215","trial_2","8",55,"any_QUD",2,9.02876666666667,"1582049686987","No","eight.wav"
"216","trial_2","13",56,"any_QUD",2,9.02876666666667,"1582049690621","Yes","all.wav"
"217","trial_2","0",57,"any_QUD",2,9.02876666666667,"1582049694120","No","three.wav"
"218","trial_2","0",58,"any_QUD",2,9.02876666666667,"1582049697528","Yes","some.wav"
"219","trial_2","13",59,"any_QUD",2,9.02876666666667,"1582049701039","No","some.wav"
"220","trial_2","2",60,"any_QUD",2,9.02876666666667,"1582049704449","Yes","some.wav"
"221","trial_2","8",61,"any_QUD",2,9.02876666666667,"1582049707937","No","all.wav"
"222","trial_2","13",62,"any_QUD",2,9.02876666666667,"1582049711328","Yes","all.wav"
"223","trial_2","8",63,"any_QUD",2,9.02876666666667,"1582049714873","No","eight.wav"
"224","trial_2","13",64,"any_QUD",2,9.02876666666667,"1582049718150","No","none.wav"
"225","trial_2","2",65,"any_QUD",2,9.02876666666667,"1582049721643","Yes","two.wav"
"226","trial_2","8",66,"any_QUD",2,9.02876666666667,"1582049724935","No","eight.wav"
"227","trial_2","5",67,"any_QUD",2,9.02876666666667,"1582049728618","Yes","nine.wav"
"228","trial_2","2",68,"any_QUD",2,9.02876666666667,"1582049732040","No","none.wav"
"229","trial_2","11",69,"any_QUD",2,9.02876666666667,"1582049735637","No","eleven.wav"
"230","trial_2","2",70,"any_QUD",2,9.02876666666667,"1582049739150","Yes","two.wav"
"231","trial_2","13",71,"any_QUD",2,9.02876666666667,"122","Late","all.wav"
"232","trial_2","8",72,"any_QUD",2,9.02876666666667,"1582049747230","No","two.wav"
"233","trial_2","11",73,"any_QUD",2,9.02876666666667,"1582049752382","Yes","some.wav"
"234","trial_2","13",74,"any_QUD",2,9.02876666666667,"1582049755820","No","some.wav"
"235","trial_2","2",75,"any_QUD",2,9.02876666666667,"1582049759425","Yes","twelve.wav"
"236","trial_2","0",76,"any_QUD",2,9.02876666666667,"1582049762837","No","all.wav"
"237","trial_2","0",77,"any_QUD",2,9.02876666666667,"11","Yes","none.wav"
"238","trial_2","13",78,"any_QUD",2,9.02876666666667,"1582049770224","No","five.wav"
"239","trial_2","13",79,"any_QUD",2,9.02876666666667,"1582049773582","Yes","all.wav"
"240","trial_2","13",80,"any_QUD",2,9.02876666666667,"1582049776982","No","some.wav"
"241","trial_2","0",81,"any_QUD",2,9.02876666666667,"1582049780419","Yes","some.wav"
"242","trial_2","11",82,"any_QUD",2,9.02876666666667,"1582049783719","No","all.wav"
"243","trial_2","5",83,"any_QUD",2,9.02876666666667,"1582049787121","Yes","five.wav"
"244","bot_check","Margaret",1,"any_QUD",3,12.5228333333333,"0","Margaret",""
"245","audio_check","",3,"any_QUD",3,12.5228333333333,"0","Four",""
"246","comprehension_check_1","",4,"any_QUD",3,12.5228333333333,"0","Jam",""
"247","practice_trial","13",6,"any_QUD",3,12.5228333333333,"2005","No","none.wav"
"248","practice_trial","13",7,"any_QUD",3,12.5228333333333,"1479","Yes","all.wav"
"249","practice_trial","0",8,"any_QUD",3,12.5228333333333,"1506","No","all.wav"
"250","practice_trial","0",9,"any_QUD",3,12.5228333333333,"1794","Yes","none.wav"
"251","trial_1","8",11,"any_QUD",3,12.5228333333333,"2303","No","thirteen.wav"
"252","trial_1","8",12,"any_QUD",3,12.5228333333333,"1762","Yes","some.wav"
"253","trial_1","8",13,"any_QUD",3,12.5228333333333,"2807","Yes","eight.wav"
"254","trial_1","0",14,"any_QUD",3,12.5228333333333,"1822","No","some.wav"
"255","trial_1","5",15,"any_QUD",3,12.5228333333333,"1865","No","all.wav"
"256","trial_1","2",16,"any_QUD",3,12.5228333333333,"1547","Yes","two.wav"
"257","trial_1","0",17,"any_QUD",3,12.5228333333333,"1449","Yes","none.wav"
"258","trial_1","13",18,"any_QUD",3,12.5228333333333,"1610","Yes","all.wav"
