"Answer.time_in_minutes","image","audio","response","workerid","Answer.condition","slide_type","slide_number","speaker_cond"
9.56175,"11","summa.wav","[2409, 'Yes']",1,"age1-anyQUD","trial_2",83,"r1-age1-any"
12.8061333333333,"Jennifer","","[0, 'Jennifer']",2,"age1-anyQUD","bot_check",1,"r1-age1-any"
12.8061333333333,"","","[0, 'Four']",2,"age1-anyQUD","audio_check",3,"r1-age1-any"
12.8061333333333,"","","[0, 'Jam']",2,"age1-anyQUD","comprehension_check_1",4,"r1-age1-any"
12.8061333333333,"13","none.wav","[9722, 'No']",2,"age1-anyQUD","practice_trial",6,"r1-age1-any"
12.8061333333333,"13","all.wav","[3078, 'Yes']",2,"age1-anyQUD","practice_trial",7,"r1-age1-any"
12.8061333333333,"0","all.wav","[2186, 'No']",2,"age1-anyQUD","practice_trial",8,"r1-age1-any"
12.8061333333333,"0","none.wav","[2704, 'Yes']",2,"age1-anyQUD","practice_trial",9,"r1-age1-any"
12.8061333333333,"8","eight.wav","[3887, 'Yes']",2,"age1-anyQUD","trial_1",11,"r1-age1-any"
12.8061333333333,"8","none.wav","[2335, 'No']",2,"age1-anyQUD","trial_1",12,"r1-age1-any"
12.8061333333333,"5","four.wav","[3001, 'No']",2,"age1-anyQUD","trial_1",13,"r1-age1-any"
12.8061333333333,"0","summa.wav","[2885, 'No']",2,"age1-anyQUD","trial_1",14,"r1-age1-any"
12.8061333333333,"5","all.wav","[3515, 'No']",2,"age1-anyQUD","trial_1",15,"r1-age1-any"
12.8061333333333,"0","five.wav","[2687, 'No']",2,"age1-anyQUD","trial_1",16,"r1-age1-any"
12.8061333333333,"13","all.wav","[2452, 'Yes']",2,"age1-anyQUD","trial_1",17,"r1-age1-any"
12.8061333333333,"8","summa.wav","[4831, 'No']",2,"age1-anyQUD","trial_1",18,"r1-age1-any"
12.8061333333333,"0","none.wav","[2138, 'Yes']",2,"age1-anyQUD","trial_1",19,"r1-age1-any"
12.8061333333333,"2","all.wav","[2414, 'No']",2,"age1-anyQUD","trial_1",20,"r1-age1-any"
12.8061333333333,"13","all.wav","[1899, 'Yes']",2,"age1-anyQUD","trial_1",21,"r1-age1-any"
12.8061333333333,"13","summa.wav","[6047, 'Yes']",2,"age1-anyQUD","trial_1",22,"r1-age1-any"
12.8061333333333,"2","two.wav","[1982, 'Yes']",2,"age1-anyQUD","trial_1",23,"r1-age1-any"
12.8061333333333,"8","eleven.wav","[4120, 'No']",2,"age1-anyQUD","trial_1",24,"r1-age1-any"
12.8061333333333,"2","two.wav","[2177, 'Yes']",2,"age1-anyQUD","trial_1",25,"r1-age1-any"
12.8061333333333,"13","eight.wav","[4398, 'No']",2,"age1-anyQUD","trial_1",26,"r1-age1-any"
12.8061333333333,"13","summa.wav","[3719, 'Yes']",2,"age1-anyQUD","trial_1",27,"r1-age1-any"
12.8061333333333,"11","thirteen.wav","[9314, 'No']",2,"age1-anyQUD","trial_1",28,"r1-age1-any"
12.8061333333333,"13","all.wav","[2271, 'Yes']",2,"age1-anyQUD","trial_1",29,"r1-age1-any"
12.8061333333333,"11","eleven.wav","[5659, 'Yes']",2,"age1-anyQUD","trial_1",30,"r1-age1-any"
12.8061333333333,"5","five.wav","[2314, 'Yes']",2,"age1-anyQUD","trial_1",31,"r1-age1-any"
12.8061333333333,"13","summa.wav","[2986, 'Yes']",2,"age1-anyQUD","trial_1",32,"r1-age1-any"
12.8061333333333,"13","summa.wav","[2867, 'No']",2,"age1-anyQUD","trial_1",33,"r1-age1-any"
12.8061333333333,"8","eight.wav","[3961, 'Yes']",2,"age1-anyQUD","trial_1",34,"r1-age1-any"
12.8061333333333,"13","all.wav","[2058, 'Yes']",2,"age1-anyQUD","trial_1",35,"r1-age1-any"
12.8061333333333,"2","two.wav","[2278, 'Yes']",2,"age1-anyQUD","trial_1",36,"r1-age1-any"
12.8061333333333,"11","all.wav","[2098, 'No']",2,"age1-anyQUD","trial_1",37,"r1-age1-any"
12.8061333333333,"0","eleven.wav","[2452, 'No']",2,"age1-anyQUD","trial_1",38,"r1-age1-any"
12.8061333333333,"11","none.wav","[2307, 'No']",2,"age1-anyQUD","trial_1",39,"r1-age1-any"
12.8061333333333,"0","none.wav","[2233, 'Yes']",2,"age1-anyQUD","trial_1",40,"r1-age1-any"
12.8061333333333,"11","seven.wav","[5172, 'No']",2,"age1-anyQUD","trial_1",41,"r1-age1-any"
12.8061333333333,"5","summa.wav","[2919, 'Yes']",2,"age1-anyQUD","trial_1",42,"r1-age1-any"
12.8061333333333,"0","summa.wav","[2686, 'No']",2,"age1-anyQUD","trial_1",43,"r1-age1-any"
12.8061333333333,"2","two.wav","[2149, 'Yes']",2,"age1-anyQUD","trial_1",44,"r1-age1-any"
12.8061333333333,"5","ten.wav","[2252, 'No']",2,"age1-anyQUD","trial_1",45,"r1-age1-any"
