response,slide_type,slide_number,workerid,Answer.condition,image,audio,Answer.time_in_minutes
"[1423, 'No']",trial_2,49,23,age2-noQUD,5,all.wav,9.805766666666667
"[1707, 'No']",trial_2,50,23,age2-noQUD,0,summa.wav,9.805766666666667
"[3636, 'Yes']",trial_2,51,23,age2-noQUD,8,eight.wav,9.805766666666667
"[1505, 'Yes']",trial_2,52,23,age2-noQUD,13,all.wav,9.805766666666667
"[1287, 'No']",trial_2,53,23,age2-noQUD,8,all.wav,9.805766666666667
"[1397, 'Yes']",trial_2,54,23,age2-noQUD,13,all.wav,9.805766666666667
"[1597, 'No']",trial_2,55,23,age2-noQUD,0,three.wav,9.805766666666667
"[1670, 'Yes']",trial_2,56,23,age2-noQUD,8,eight.wav,9.805766666666667
"[1894, 'No']",trial_2,57,23,age2-noQUD,13,ten.wav,9.805766666666667
"[1661, 'No']",trial_2,58,23,age2-noQUD,13,none.wav,9.805766666666667
"[1221, 'Yes']",trial_2,59,23,age2-noQUD,2,two.wav,9.805766666666667
"[1446, 'No']",trial_2,60,23,age2-noQUD,5,two.wav,9.805766666666667
"[1481, 'Yes']",trial_2,61,23,age2-noQUD,0,none.wav,9.805766666666667
"[1541, 'No']",trial_2,62,23,age2-noQUD,13,summa.wav,9.805766666666667
"[1710, 'Yes']",trial_2,63,23,age2-noQUD,2,summa.wav,9.805766666666667
"[1917, 'No']",trial_2,64,23,age2-noQUD,11,one.wav,9.805766666666667
"[1185, 'Yes']",trial_2,65,23,age2-noQUD,13,all.wav,9.805766666666667
"[1347, 'Yes']",trial_2,66,23,age2-noQUD,13,all.wav,9.805766666666667
"[2172, 'Yes']",trial_2,67,23,age2-noQUD,0,none.wav,9.805766666666667
"[1523, 'No']",trial_2,68,23,age2-noQUD,13,summa.wav,9.805766666666667
"[1313, 'No']",trial_2,69,23,age2-noQUD,0,summa.wav,9.805766666666667
"[1518, 'No']",trial_2,70,23,age2-noQUD,13,five.wav,9.805766666666667
"[1600, 'No']",trial_2,71,23,age2-noQUD,5,nine.wav,9.805766666666667
"[1573, 'No']",trial_2,72,23,age2-noQUD,13,summa.wav,9.805766666666667
"[1517, 'Yes']",trial_2,73,23,age2-noQUD,11,summa.wav,9.805766666666667
"[1524, 'No']",trial_2,74,23,age2-noQUD,2,twelve.wav,9.805766666666667
"[1580, 'No']",trial_2,75,23,age2-noQUD,8,two.wav,9.805766666666667
"[1585, 'No']",trial_2,76,23,age2-noQUD,0,all.wav,9.805766666666667
"[1480, 'Yes']",trial_2,77,23,age2-noQUD,2,two.wav,9.805766666666667
"[1425, 'No']",trial_2,78,23,age2-noQUD,2,none.wav,9.805766666666667
"[1379, 'No']",trial_2,79,23,age2-noQUD,11,all.wav,9.805766666666667
"[2123, 'Yes']",trial_2,80,23,age2-noQUD,8,eight.wav,9.805766666666667
"[1252, 'Yes']",trial_2,81,23,age2-noQUD,5,five.wav,9.805766666666667
"[1400, 'Yes']",trial_2,82,23,age2-noQUD,11,eleven.wav,9.805766666666667
"[0, 'Patricia']",bot_check,1,24,age2-noQUD,Patricia,,11.5301
"[0, 'Four']",audio_check,3,24,age2-noQUD,,,11.5301
"[3410, 'No']",practice_trial,6,24,age2-noQUD,13,none.wav,11.5301
"[2482, 'Yes']",practice_trial,7,24,age2-noQUD,13,all.wav,11.5301
"[1868, 'No']",practice_trial,8,24,age2-noQUD,0,all.wav,11.5301
"[2853, 'Yes']",practice_trial,9,24,age2-noQUD,0,none.wav,11.5301
"[3979, 'No']",trial_1,11,24,age2-noQUD,8,eleven.wav,11.5301
"[2387, 'No']",trial_1,12,24,age2-noQUD,0,summa.wav,11.5301
"[2171, 'No']",trial_1,13,24,age2-noQUD,0,five.wav,11.5301
"[2003, 'Yes']",trial_1,14,24,age2-noQUD,0,none.wav,11.5301
"[4411, 'No']",trial_1,15,24,age2-noQUD,11,thirteen.wav,11.5301
"[1699, 'Yes']",trial_1,16,24,age2-noQUD,13,all.wav,11.5301
"[2260, 'Yes']",trial_1,17,24,age2-noQUD,2,two.wav,11.5301
"[1780, 'No']",trial_1,18,24,age2-noQUD,2,all.wav,11.5301
"[2282, 'No']",trial_1,19,24,age2-noQUD,5,four.wav,11.5301
"[3468, 'Yes']",trial_1,20,24,age2-noQUD,8,eight.wav,11.5301
"[2250, 'No']",trial_1,21,24,age2-noQUD,8,none.wav,11.5301
"[1740, 'No']",trial_1,22,24,age2-noQUD,5,all.wav,11.5301
"[7428, 'No']",trial_1,23,24,age2-noQUD,13,summa.wav,11.5301
"[2522, 'Yes']",trial_1,24,24,age2-noQUD,8,summa.wav,11.5301
"[2851, 'No']",trial_1,25,24,age2-noQUD,13,eight.wav,11.5301
"[1827, 'Yes']",trial_1,26,24,age2-noQUD,13,all.wav,11.5301
"[3948, 'No']",trial_1,27,24,age2-noQUD,13,summa.wav,11.5301
"[1970, 'Yes']",trial_1,28,24,age2-noQUD,2,two.wav,11.5301
"[1962, 'Yes']",trial_1,29,24,age2-noQUD,2,two.wav,11.5301
"[4499, 'No']",trial_1,30,24,age2-noQUD,11,eleven.wav,11.5301
"[1922, 'Yes']",trial_1,31,24,age2-noQUD,13,all.wav,11.5301
"[1754, 'Yes']",trial_1,32,24,age2-noQUD,0,none.wav,11.5301
"[2242, 'No']",trial_1,33,24,age2-noQUD,11,all.wav,11.5301
"[2340, 'No']",trial_1,34,24,age2-noQUD,13,summa.wav,11.5301
"[1650, 'Yes']",trial_1,35,24,age2-noQUD,2,two.wav,11.5301
"[1892, 'No']",trial_1,36,24,age2-noQUD,0,all.wav,11.5301
"[2427, 'No']",trial_1,37,24,age2-noQUD,0,eleven.wav,11.5301
"[2786, 'No']",trial_1,38,24,age2-noQUD,13,summa.wav,11.5301
"[2235, 'Yes']",trial_1,39,24,age2-noQUD,5,five.wav,11.5301
"[1572, 'Yes']",trial_1,40,24,age2-noQUD,13,all.wav,11.5301
"[2298, 'No']",trial_1,41,24,age2-noQUD,11,none.wav,11.5301
"[2164, 'No']",trial_1,42,24,age2-noQUD,5,ten.wav,11.5301
"[3651, 'Yes']",trial_1,43,24,age2-noQUD,8,eight.wav,11.5301
"[2289, 'Yes']",trial_1,44,24,age2-noQUD,5,summa.wav,11.5301
"[2131, 'No']",trial_1,45,24,age2-noQUD,0,summa.wav,11.5301
"[3076, 'No']",trial_1,46,24,age2-noQUD,11,seven.wav,11.5301
"[4634, 'No']",trial_2,47,24,age2-noQUD,13,ten.wav,11.5301
"[2123, 'No']",trial_2,48,24,age2-noQUD,5,all.wav,11.5301
"[2346, 'No']",trial_2,49,24,age2-noQUD,5,two.wav,11.5301
"[1851, 'Yes']",trial_2,50,24,age2-noQUD,13,all.wav,11.5301
"[1587, 'Yes']",trial_2,51,24,age2-noQUD,13,all.wav,11.5301
"[2523, 'No']",trial_2,52,24,age2-noQUD,8,all.wav,11.5301
"[2891, 'No']",trial_2,53,24,age2-noQUD,11,one.wav,11.5301
"[3036, 'Yes']",trial_2,54,24,age2-noQUD,8,eight.wav,11.5301
"[2027, 'Yes']",trial_2,55,24,age2-noQUD,2,two.wav,11.5301
"[1963, 'No']",trial_2,56,24,age2-noQUD,13,summa.wav,11.5301
"[3508, 'No']",trial_2,57,24,age2-noQUD,0,summa.wav,11.5301
"[1979, 'Yes']",trial_2,58,24,age2-noQUD,5,five.wav,11.5301
"[2154, 'No']",trial_2,59,24,age2-noQUD,0,three.wav,11.5301
"[2250, 'Yes']",trial_2,60,24,age2-noQUD,2,summa.wav,11.5301
"[1811, 'No']",trial_2,61,24,age2-noQUD,13,none.wav,11.5301
"[1748, 'Yes']",trial_2,62,24,age2-noQUD,0,none.wav,11.5301
"[2986, 'Yes']",trial_2,63,24,age2-noQUD,8,eight.wav,11.5301
"[2523, 'No']",trial_2,64,24,age2-noQUD,13,summa.wav,11.5301
"[2219, 'No']",trial_2,65,24,age2-noQUD,2,none.wav,11.5301
"[4091, 'Yes']",trial_2,66,24,age2-noQUD,11,eleven.wav,11.5301
"[2925, 'Yes']",trial_2,67,24,age2-noQUD,8,eight.wav,11.5301
"[2323, 'Yes']",trial_2,68,24,age2-noQUD,0,none.wav,11.5301
"[1563, 'Yes']",trial_2,69,24,age2-noQUD,2,two.wav,11.5301
"[2099, 'Yes']",trial_2,70,24,age2-noQUD,11,summa.wav,11.5301
"[1683, 'Yes']",trial_2,71,24,age2-noQUD,13,all.wav,11.5301
"[2155, 'No']",trial_2,72,24,age2-noQUD,0,summa.wav,11.5301
"[2011, 'No']",trial_2,73,24,age2-noQUD,5,nine.wav,11.5301
"[2051, 'No']",trial_2,74,24,age2-noQUD,8,two.wav,11.5301
"[2132, 'No']",trial_2,75,24,age2-noQUD,13,summa.wav,11.5301
"[1835, 'No']",trial_2,76,24,age2-noQUD,0,all.wav,11.5301
"[2155, 'Yes']",trial_2,77,24,age2-noQUD,2,twelve.wav,11.5301
"[2180, 'No']",trial_2,78,24,age2-noQUD,11,all.wav,11.5301
"[2779, 'No']",trial_2,79,24,age2-noQUD,13,summa.wav,11.5301
"[1964, 'No']",trial_2,80,24,age2-noQUD,13,five.wav,11.5301
"[2476, 'Yes']",trial_2,81,24,age2-noQUD,5,five.wav,11.5301
"[2203, 'Yes']",trial_2,82,24,age2-noQUD,13,all.wav,11.5301
"[0, 'Jessica']",bot_check,1,25,age2-noQUD,Jessica,,11.511866666666666
"[0, 'Four']",audio_check,3,25,age2-noQUD,,,11.511866666666666
"[2287, 'No']",practice_trial,6,25,age2-noQUD,13,none.wav,11.511866666666666
"[1442, 'Yes']",practice_trial,7,25,age2-noQUD,13,all.wav,11.511866666666666
"[2028, 'No']",practice_trial,8,25,age2-noQUD,0,all.wav,11.511866666666666
"[1953, 'Yes']",practice_trial,9,25,age2-noQUD,0,none.wav,11.511866666666666
"[2104, 'No']",trial_1,11,25,age2-noQUD,8,none.wav,11.511866666666666
"[1988, 'Yes']",trial_1,12,25,age2-noQUD,8,summa.wav,11.511866666666666
"[2818, 'Yes']",trial_1,13,25,age2-noQUD,13,summa.wav,11.511866666666666
"[5023, 'No']",trial_1,14,25,age2-noQUD,11,thirteen.wav,11.511866666666666
"[2043, 'No']",trial_1,15,25,age2-noQUD,0,summa.wav,11.511866666666666
"[3479, 'Yes']",trial_1,16,25,age2-noQUD,8,eight.wav,11.511866666666666
"[1996, 'No']",trial_1,17,25,age2-noQUD,0,five.wav,11.511866666666666
"[3331, 'No']",trial_1,18,25,age2-noQUD,2,two.wav,11.511866666666666
"[2330, 'Yes']",trial_1,19,25,age2-noQUD,0,none.wav,11.511866666666666
"[1496, 'Yes']",trial_1,20,25,age2-noQUD,13,all.wav,11.511866666666666
"[2301, 'No']",trial_1,21,25,age2-noQUD,13,eight.wav,11.511866666666666
"[2234, 'No']",trial_1,22,25,age2-noQUD,2,two.wav,11.511866666666666
"[2268, 'No']",trial_1,23,25,age2-noQUD,5,four.wav,11.511866666666666
"[1322, 'Yes']",trial_1,24,25,age2-noQUD,13,all.wav,11.511866666666666
"[3799, 'No']",trial_1,25,25,age2-noQUD,8,eleven.wav,11.511866666666666
"[1883, 'No']",trial_1,26,25,age2-noQUD,2,all.wav,11.511866666666666
"[2653, 'No']",trial_1,27,25,age2-noQUD,13,summa.wav,11.511866666666666
"[2040, 'No']",trial_1,28,25,age2-noQUD,5,all.wav,11.511866666666666
"[1637, 'No']",trial_1,29,25,age2-noQUD,13,summa.wav,11.511866666666666
"[1908, 'No']",trial_1,30,25,age2-noQUD,11,all.wav,11.511866666666666
"[1731, 'No']",trial_1,31,25,age2-noQUD,0,all.wav,11.511866666666666
"[1655, 'No']",trial_1,32,25,age2-noQUD,0,summa.wav,11.511866666666666
"[1536, 'Yes']",trial_1,33,25,age2-noQUD,13,all.wav,11.511866666666666
"[1711, 'No']",trial_1,34,25,age2-noQUD,5,ten.wav,11.511866666666666
"[1537, 'No']",trial_1,35,25,age2-noQUD,13,summa.wav,11.511866666666666
"[2226, 'No']",trial_1,36,25,age2-noQUD,11,seven.wav,11.511866666666666
"[3072, 'Yes']",trial_1,37,25,age2-noQUD,8,eight.wav,11.511866666666666
"[1969, 'Yes']",trial_1,38,25,age2-noQUD,5,summa.wav,11.511866666666666
"[1787, 'Yes']",trial_1,39,25,age2-noQUD,2,two.wav,11.511866666666666
"[4417, 'Yes']",trial_1,40,25,age2-noQUD,11,eleven.wav,11.511866666666666
"[2046, 'No']",trial_1,41,25,age2-noQUD,0,eleven.wav,11.511866666666666
"[2405, 'Yes']",trial_1,42,25,age2-noQUD,2,two.wav,11.511866666666666
"[2470, 'Yes']",trial_1,43,25,age2-noQUD,5,five.wav,11.511866666666666
"[1542, 'Yes']",trial_1,44,25,age2-noQUD,13,all.wav,11.511866666666666
"[1673, 'No']",trial_1,45,25,age2-noQUD,11,none.wav,11.511866666666666
"[1618, 'Yes']",trial_1,46,25,age2-noQUD,0,none.wav,11.511866666666666
"[2115, 'No']",trial_2,47,25,age2-noQUD,13,summa.wav,11.511866666666666
"[1873, 'Yes']",trial_2,48,25,age2-noQUD,5,five.wav,11.511866666666666
"[2528, 'No']",trial_2,49,25,age2-noQUD,11,one.wav,11.511866666666666
"[2141, 'Yes']",trial_2,50,25,age2-noQUD,2,summa.wav,11.511866666666666
"[2218, 'No']",trial_2,51,25,age2-noQUD,8,all.wav,11.511866666666666
"[1547, 'No']",trial_2,52,25,age2-noQUD,13,none.wav,11.511866666666666
"[5215, 'Yes']",trial_2,53,25,age2-noQUD,8,eight.wav,11.511866666666666
"[2247, 'Yes']",trial_2,54,25,age2-noQUD,2,two.wav,11.511866666666666
"[2273, 'Yes']",trial_2,55,25,age2-noQUD,13,all.wav,11.511866666666666
"[2461, 'No']",trial_2,56,25,age2-noQUD,13,ten.wav,11.511866666666666
"[4628, 'Yes']",trial_2,57,25,age2-noQUD,8,eight.wav,11.511866666666666
"[1454, 'Yes']",trial_2,58,25,age2-noQUD,13,all.wav,11.511866666666666
"[1671, 'No']",trial_2,59,25,age2-noQUD,13,summa.wav,11.511866666666666
"[1637, 'Yes']",trial_2,60,25,age2-noQUD,0,none.wav,11.511866666666666
"[1962, 'No']",trial_2,61,25,age2-noQUD,5,two.wav,11.511866666666666
"[1772, 'No']",trial_2,62,25,age2-noQUD,0,three.wav,11.511866666666666
"[2154, 'No']",trial_2,63,25,age2-noQUD,0,summa.wav,11.511866666666666
"[2285, 'No']",trial_2,64,25,age2-noQUD,5,all.wav,11.511866666666666
"[1754, 'No']",trial_2,65,25,age2-noQUD,13,summa.wav,11.511866666666666
"[1793, 'No']",trial_2,66,25,age2-noQUD,8,two.wav,11.511866666666666
"[1664, 'Yes']",trial_2,67,25,age2-noQUD,13,all.wav,11.511866666666666
"[1583, 'No']",trial_2,68,25,age2-noQUD,0,all.wav,11.511866666666666
"[1779, 'No']",trial_2,69,25,age2-noQUD,2,twelve.wav,11.511866666666666
"[1621, 'No']",trial_2,70,25,age2-noQUD,0,summa.wav,11.511866666666666
"[1827, 'No']",trial_2,71,25,age2-noQUD,11,all.wav,11.511866666666666
"[1620, 'Yes']",trial_2,72,25,age2-noQUD,0,none.wav,11.511866666666666
"[1582, 'Yes']",trial_2,73,25,age2-noQUD,5,five.wav,11.511866666666666
"[1669, 'Yes']",trial_2,74,25,age2-noQUD,2,two.wav,11.511866666666666
"[1499, 'No']",trial_2,75,25,age2-noQUD,13,five.wav,11.511866666666666
"[2730, 'Yes']",trial_2,76,25,age2-noQUD,11,eleven.wav,11.511866666666666
"[1778, 'Yes']",trial_2,77,25,age2-noQUD,13,all.wav,11.511866666666666
"[1635, 'No']",trial_2,78,25,age2-noQUD,5,nine.wav,11.511866666666666
"[1554, 'No']",trial_2,79,25,age2-noQUD,2,none.wav,11.511866666666666
"[2645, 'Yes']",trial_2,80,25,age2-noQUD,11,summa.wav,11.511866666666666
"[2383, 'Yes']",trial_2,81,25,age2-noQUD,8,eight.wav,11.511866666666666
"[6074, 'Yes']",trial_2,82,25,age2-noQUD,13,summa.wav,11.511866666666666
"[0, 'Linda']",bot_check,1,26,age2-noQUD,Linda,,13.241166666666667
"[0, 'Four']",audio_check,3,26,age2-noQUD,,,13.241166666666667
"[2785, 'No']",practice_trial,6,26,age2-noQUD,13,none.wav,13.241166666666667
"[1551, 'Yes']",practice_trial,7,26,age2-noQUD,13,all.wav,13.241166666666667
"[1931, 'No']",practice_trial,8,26,age2-noQUD,0,all.wav,13.241166666666667
"[1927, 'Yes']",practice_trial,9,26,age2-noQUD,0,none.wav,13.241166666666667
"[5486, 'No']",trial_1,11,26,age2-noQUD,11,thirteen.wav,13.241166666666667
"[3410, 'No']",trial_1,12,26,age2-noQUD,0,summa.wav,13.241166666666667
"[7959, 'No']",trial_1,13,26,age2-noQUD,13,summa.wav,13.241166666666667
"[1797, 'No']",trial_1,14,26,age2-noQUD,5,all.wav,13.241166666666667
"[1845, 'No']",trial_1,15,26,age2-noQUD,13,summa.wav,13.241166666666667
"[1458, 'Yes']",trial_1,16,26,age2-noQUD,13,all.wav,13.241166666666667
"[1318, 'Yes']",trial_1,17,26,age2-noQUD,13,all.wav,13.241166666666667
"[2887, 'No']",trial_1,18,26,age2-noQUD,8,eleven.wav,13.241166666666667
"[2374, 'No']",trial_1,19,26,age2-noQUD,5,four.wav,13.241166666666667
"[2363, 'Yes']",trial_1,20,26,age2-noQUD,0,none.wav,13.241166666666667
"[2189, 'Yes']",trial_1,21,26,age2-noQUD,8,eight.wav,13.241166666666667
"[2813, 'Yes']",trial_1,22,26,age2-noQUD,8,summa.wav,13.241166666666667
"[1819, 'No']",trial_1,23,26,age2-noQUD,8,none.wav,13.241166666666667
"[1484, 'Yes']",trial_1,24,26,age2-noQUD,2,two.wav,13.241166666666667
"[1535, 'No']",trial_1,25,26,age2-noQUD,0,five.wav,13.241166666666667
"[1623, 'No']",trial_1,26,26,age2-noQUD,2,all.wav,13.241166666666667
"[1381, 'Yes']",trial_1,27,26,age2-noQUD,2,two.wav,13.241166666666667
"[1393, 'No']",trial_1,28,26,age2-noQUD,13,eight.wav,13.241166666666667
"[1832, 'Yes']",trial_1,29,26,age2-noQUD,5,summa.wav,13.241166666666667
"[2487, 'No']",trial_1,30,26,age2-noQUD,11,none.wav,13.241166666666667
"[1012, 'Yes']",trial_1,31,26,age2-noQUD,13,all.wav,13.241166666666667
"[1551, 'No']",trial_1,32,26,age2-noQUD,11,all.wav,13.241166666666667
"[1569, 'Yes']",trial_1,33,26,age2-noQUD,2,two.wav,13.241166666666667
"[2721, 'Yes']",trial_1,34,26,age2-noQUD,8,eight.wav,13.241166666666667
"[1700, 'No']",trial_1,35,26,age2-noQUD,0,eleven.wav,13.241166666666667
"[4683, 'Yes']",trial_1,36,26,age2-noQUD,11,eleven.wav,13.241166666666667
"[1790, 'No']",trial_1,37,26,age2-noQUD,5,ten.wav,13.241166666666667
"[1757, 'No']",trial_1,38,26,age2-noQUD,0,summa.wav,13.241166666666667
"[2303, 'No']",trial_1,39,26,age2-noQUD,13,summa.wav,13.241166666666667
"[1601, 'Yes']",trial_1,40,26,age2-noQUD,2,two.wav,13.241166666666667
"[1772, 'Yes']",trial_1,41,26,age2-noQUD,13,all.wav,13.241166666666667
"[1957, 'No']",trial_1,42,26,age2-noQUD,13,summa.wav,13.241166666666667
"[1575, 'Yes']",trial_1,43,26,age2-noQUD,5,five.wav,13.241166666666667
"[4042, 'No']",trial_1,44,26,age2-noQUD,11,seven.wav,13.241166666666667
"[1924, 'No']",trial_1,45,26,age2-noQUD,0,all.wav,13.241166666666667
"[1501, 'Yes']",trial_1,46,26,age2-noQUD,0,none.wav,13.241166666666667
"[2019, 'No']",trial_2,47,26,age2-noQUD,13,none.wav,13.241166666666667
"[1456, 'Yes']",trial_2,48,26,age2-noQUD,13,all.wav,13.241166666666667
"[1711, 'No']",trial_2,49,26,age2-noQUD,11,one.wav,13.241166666666667
"[2279, 'No']",trial_2,50,26,age2-noQUD,0,summa.wav,13.241166666666667
"[3739, 'Yes']",trial_2,51,26,age2-noQUD,8,eight.wav,13.241166666666667
"[2014, 'No']",trial_2,52,26,age2-noQUD,13,ten.wav,13.241166666666667
"[2590, 'Yes']",trial_2,53,26,age2-noQUD,2,two.wav,13.241166666666667
"[1815, 'No']",trial_2,54,26,age2-noQUD,0,three.wav,13.241166666666667
"[1597, 'No']",trial_2,55,26,age2-noQUD,2,summa.wav,13.241166666666667
"[2501, 'No']",trial_2,56,26,age2-noQUD,13,summa.wav,13.241166666666667
"[1887, 'No']",trial_2,57,26,age2-noQUD,5,all.wav,13.241166666666667
"[1977, 'No']",trial_2,58,26,age2-noQUD,5,two.wav,13.241166666666667
"[3163, 'Yes']",trial_2,59,26,age2-noQUD,8,eight.wav,13.241166666666667
"[1636, 'Yes']",trial_2,60,26,age2-noQUD,0,none.wav,13.241166666666667
"[2093, 'No']",trial_2,61,26,age2-noQUD,13,summa.wav,13.241166666666667
"[1673, 'No']",trial_2,62,26,age2-noQUD,8,all.wav,13.241166666666667
"[1898, 'Yes']",trial_2,63,26,age2-noQUD,13,all.wav,13.241166666666667
"[1479, 'Yes']",trial_2,64,26,age2-noQUD,5,five.wav,13.241166666666667
"[1494, 'No']",trial_2,65,26,age2-noQUD,5,nine.wav,13.241166666666667
"[1738, 'No']",trial_2,66,26,age2-noQUD,13,summa.wav,13.241166666666667
"[2671, 'No']",trial_2,67,26,age2-noQUD,13,summa.wav,13.241166666666667
"[1875, 'No']",trial_2,68,26,age2-noQUD,8,two.wav,13.241166666666667
"[2207, 'Yes']",trial_2,69,26,age2-noQUD,5,five.wav,13.241166666666667
"[2170, 'No']",trial_2,70,26,age2-noQUD,13,five.wav,13.241166666666667
"[1672, 'No']",trial_2,71,26,age2-noQUD,2,none.wav,13.241166666666667
"[1575, 'Yes']",trial_2,72,26,age2-noQUD,13,all.wav,13.241166666666667
"[1547, 'Yes']",trial_2,73,26,age2-noQUD,0,none.wav,13.241166666666667
"[1620, 'No']",trial_2,74,26,age2-noQUD,0,summa.wav,13.241166666666667
"[1526, 'Yes']",trial_2,75,26,age2-noQUD,2,two.wav,13.241166666666667
"[1651, 'No']",trial_2,76,26,age2-noQUD,2,twelve.wav,13.241166666666667
"[7211, 'Yes']",trial_2,77,26,age2-noQUD,8,eight.wav,13.241166666666667
"[1405, 'Yes']",trial_2,78,26,age2-noQUD,13,all.wav,13.241166666666667
"[2360, 'No']",trial_2,79,26,age2-noQUD,11,all.wav,13.241166666666667
"[1248, 'No']",trial_2,80,26,age2-noQUD,0,all.wav,13.241166666666667
"[1911, 'Yes']",trial_2,81,26,age2-noQUD,11,summa.wav,13.241166666666667
"[2706, 'Yes']",trial_2,82,26,age2-noQUD,11,eleven.wav,13.241166666666667
"[0, 'Margaret']",bot_check,1,27,age2-noQUD,Margaret,,12.979266666666666
"[0, 'Four']",audio_check,3,27,age2-noQUD,,,12.979266666666666
"[2509, 'No']",practice_trial,6,27,age2-noQUD,13,none.wav,12.979266666666666
"[1905, 'Yes']",practice_trial,7,27,age2-noQUD,13,all.wav,12.979266666666666
"[1821, 'No']",practice_trial,8,27,age2-noQUD,0,all.wav,12.979266666666666
"[2350, 'Yes']",practice_trial,9,27,age2-noQUD,0,none.wav,12.979266666666666
"[2434, 'No']",trial_1,11,27,age2-noQUD,0,summa.wav,12.979266666666666
"[2731, 'Yes']",trial_1,12,27,age2-noQUD,13,summa.wav,12.979266666666666
"[1869, 'No']",trial_1,13,27,age2-noQUD,2,all.wav,12.979266666666666
"[2205, 'Yes']",trial_1,14,27,age2-noQUD,2,two.wav,12.979266666666666
"[1718, 'No']",trial_1,15,27,age2-noQUD,5,all.wav,12.979266666666666
"[10313, 'No']",trial_1,16,27,age2-noQUD,11,thirteen.wav,12.979266666666666
"[3262, 'Yes']",trial_1,17,27,age2-noQUD,8,eight.wav,12.979266666666666
"[1710, 'Yes']",trial_1,18,27,age2-noQUD,13,all.wav,12.979266666666666
"[3282, 'Yes']",trial_1,19,27,age2-noQUD,13,eight.wav,12.979266666666666
"[3288, 'Yes']",trial_1,20,27,age2-noQUD,8,summa.wav,12.979266666666666
"[2087, 'No']",trial_1,21,27,age2-noQUD,0,five.wav,12.979266666666666
"[1255, 'Yes']",trial_1,22,27,age2-noQUD,13,all.wav,12.979266666666666
"[1673, 'No']",trial_1,23,27,age2-noQUD,8,none.wav,12.979266666666666
"[4584, 'No']",trial_1,24,27,age2-noQUD,8,eleven.wav,12.979266666666666
"[1912, 'Yes']",trial_1,25,27,age2-noQUD,0,none.wav,12.979266666666666
"[2161, 'Yes']",trial_1,26,27,age2-noQUD,13,summa.wav,12.979266666666666
"[2492, 'Yes']",trial_1,27,27,age2-noQUD,2,two.wav,12.979266666666666
"[2739, 'Yes']",trial_1,28,27,age2-noQUD,5,four.wav,12.979266666666666
"[1856, 'Yes']",trial_1,29,27,age2-noQUD,13,summa.wav,12.979266666666666
"[3296, 'Yes']",trial_1,30,27,age2-noQUD,8,eight.wav,12.979266666666666
"[1553, 'Yes']",trial_1,31,27,age2-noQUD,13,all.wav,12.979266666666666
"[2046, 'No']",trial_1,32,27,age2-noQUD,5,ten.wav,12.979266666666666
"[1674, 'Yes']",trial_1,33,27,age2-noQUD,0,none.wav,12.979266666666666
"[2186, 'Yes']",trial_1,34,27,age2-noQUD,11,seven.wav,12.979266666666666
"[1624, 'No']",trial_1,35,27,age2-noQUD,11,all.wav,12.979266666666666
"[2197, 'Yes']",trial_1,36,27,age2-noQUD,5,summa.wav,12.979266666666666
"[1773, 'Yes']",trial_1,37,27,age2-noQUD,2,two.wav,12.979266666666666
"[1164, 'Yes']",trial_1,38,27,age2-noQUD,13,all.wav,12.979266666666666
"[1862, 'No']",trial_1,39,27,age2-noQUD,0,summa.wav,12.979266666666666
"[2739, 'No']",trial_1,40,27,age2-noQUD,0,eleven.wav,12.979266666666666
"[4039, 'Yes']",trial_1,41,27,age2-noQUD,11,eleven.wav,12.979266666666666
"[1848, 'Yes']",trial_1,42,27,age2-noQUD,2,two.wav,12.979266666666666
"[1927, 'Yes']",trial_1,43,27,age2-noQUD,13,summa.wav,12.979266666666666
"[1653, 'No']",trial_1,44,27,age2-noQUD,11,none.wav,12.979266666666666
"[2135, 'No']",trial_1,45,27,age2-noQUD,0,all.wav,12.979266666666666
"[2203, 'Yes']",trial_1,46,27,age2-noQUD,5,five.wav,12.979266666666666
"[1805, 'Yes']",trial_2,47,27,age2-noQUD,13,all.wav,12.979266666666666
"[1376, 'Yes']",trial_2,48,27,age2-noQUD,0,none.wav,12.979266666666666
"[1727, 'No']",trial_2,49,27,age2-noQUD,13,none.wav,12.979266666666666
"[2125, 'No']",trial_2,50,27,age2-noQUD,0,summa.wav,12.979266666666666
"[1909, 'Yes']",trial_2,51,27,age2-noQUD,2,summa.wav,12.979266666666666
"[1735, 'No']",trial_2,52,27,age2-noQUD,5,all.wav,12.979266666666666
"[2398, 'Yes']",trial_2,53,27,age2-noQUD,11,one.wav,12.979266666666666
"[2974, 'Yes']",trial_2,54,27,age2-noQUD,8,eight.wav,12.979266666666666
"[3189, 'Yes']",trial_2,55,27,age2-noQUD,8,eight.wav,12.979266666666666
"[1785, 'Yes']",trial_2,56,27,age2-noQUD,13,summa.wav,12.979266666666666
"[4040, 'Yes']",trial_2,57,27,age2-noQUD,13,ten.wav,12.979266666666666
"[3100, 'Yes']",trial_2,58,27,age2-noQUD,5,five.wav,12.979266666666666
"[1764, 'No']",trial_2,59,27,age2-noQUD,0,three.wav,12.979266666666666
"[1948, 'No']",trial_2,60,27,age2-noQUD,8,all.wav,12.979266666666666
"[1659, 'Yes']",trial_2,61,27,age2-noQUD,2,two.wav,12.979266666666666
"[1628, 'Yes']",trial_2,62,27,age2-noQUD,13,all.wav,12.979266666666666
