"","rawRT","key","audio","age_group","qud","slide_type","image","slide_number","workerid","Answer.time_in_minutes","speaker_cond"
"114","1412","No","eleven.wav","age1","allQUD","trial_1","0",37,1,9.46383333333333,"age1all"
"115","2521","Yes","all.wav","age1","allQUD","trial_1","13",38,1,9.46383333333333,"age1all"
"116","2195","No","ten.wav","age1","allQUD","trial_1","5",39,1,9.46383333333333,"age1all"
"117","1798","No","seven.wav","age1","allQUD","trial_1","11",40,1,9.46383333333333,"age1all"
"118","1706","Yes","summa.wav","age1","allQUD","trial_1","5",41,1,9.46383333333333,"age1all"
"119","1812","No","summa.wav","age1","allQUD","trial_1","0",42,1,9.46383333333333,"age1all"
"120","1915","No","summa.wav","age1","allQUD","trial_1","13",43,1,9.46383333333333,"age1all"
"121","1734","No","summa.wav","age1","allQUD","trial_1","13",44,1,9.46383333333333,"age1all"
"122","2051","Yes","five.wav","age1","allQUD","trial_1","5",45,1,9.46383333333333,"age1all"
"123","1651","No","all.wav","age1","allQUD","trial_1","0",46,1,9.46383333333333,"age1all"
"124","0","Empty","","age1","allQUD","comprehension_check_2","",47,1,9.46383333333333,"age1all"
"125","1728","No","one.wav","age1","allQUD","trial_2","11",48,1,9.46383333333333,"age1all"
"126","1623","No","all.wav","age1","allQUD","trial_2","8",49,1,9.46383333333333,"age1all"
"127","2009","Yes","two.wav","age1","allQUD","trial_2","2",50,1,9.46383333333333,"age1all"
"128","1944","Yes","all.wav","age1","allQUD","trial_2","13",51,1,9.46383333333333,"age1all"
"129","5173","Yes","eight.wav","age1","allQUD","trial_2","8",52,1,9.46383333333333,"age1all"
"130","2020","Yes","summa.wav","age1","allQUD","trial_2","2",53,1,9.46383333333333,"age1all"
"131","1933","No","ten.wav","age1","allQUD","trial_2","13",54,1,9.46383333333333,"age1all"
"132","1769","No","two.wav","age1","allQUD","trial_2","5",55,1,9.46383333333333,"age1all"
"133","1765","No","summa.wav","age1","allQUD","trial_2","13",56,1,9.46383333333333,"age1all"
"134","1415","No","three.wav","age1","allQUD","trial_2","0",57,1,9.46383333333333,"age1all"
"135","6072","Yes","eight.wav","age1","allQUD","trial_2","8",58,1,9.46383333333333,"age1all"
"136","2370","No","summa.wav","age1","allQUD","trial_2","13",59,1,9.46383333333333,"age1all"
"137","1294","No","all.wav","age1","allQUD","trial_2","5",60,1,9.46383333333333,"age1all"
"138","1745","No","none.wav","age1","allQUD","trial_2","13",61,1,9.46383333333333,"age1all"
"139","2633","Yes","five.wav","age1","allQUD","trial_2","5",62,1,9.46383333333333,"age1all"
"140","2057","Yes","all.wav","age1","allQUD","trial_2","13",63,1,9.46383333333333,"age1all"
"141","1853","Yes","none.wav","age1","allQUD","trial_2","0",64,1,9.46383333333333,"age1all"
"142","1917","No","summa.wav","age1","allQUD","trial_2","0",65,1,9.46383333333333,"age1all"
"143","1558","No","none.wav","age1","allQUD","trial_2","2",66,1,9.46383333333333,"age1all"
"144","1417","No","all.wav","age1","allQUD","trial_2","11",67,1,9.46383333333333,"age1all"
"145","1634","No","two.wav","age1","allQUD","trial_2","8",68,1,9.46383333333333,"age1all"
"146","1761","Yes","two.wav","age1","allQUD","trial_2","2",69,1,9.46383333333333,"age1all"
"147","1690","Yes","all.wav","age1","allQUD","trial_2","13",70,1,9.46383333333333,"age1all"
"148","1789","No","summa.wav","age1","allQUD","trial_2","13",71,1,9.46383333333333,"age1all"
"149","1838","No","five.wav","age1","allQUD","trial_2","13",72,1,9.46383333333333,"age1all"
"150","1857","Yes","none.wav","age1","allQUD","trial_2","0",73,1,9.46383333333333,"age1all"
"151","1716","No","summa.wav","age1","allQUD","trial_2","13",74,1,9.46383333333333,"age1all"
"152","1953","No","summa.wav","age1","allQUD","trial_2","0",75,1,9.46383333333333,"age1all"
"153","1905","Yes","five.wav","age1","allQUD","trial_2","5",76,1,9.46383333333333,"age1all"
"154","1417","No","all.wav","age1","allQUD","trial_2","0",77,1,9.46383333333333,"age1all"
"155","5880","Yes","eleven.wav","age1","allQUD","trial_2","11",78,1,9.46383333333333,"age1all"
"156","1702","Yes","summa.wav","age1","allQUD","trial_2","11",79,1,9.46383333333333,"age1all"
"157","1707","No","nine.wav","age1","allQUD","trial_2","5",80,1,9.46383333333333,"age1all"
"158","1834","Yes","all.wav","age1","allQUD","trial_2","13",81,1,9.46383333333333,"age1all"
"159","7848","Yes","eight.wav","age1","allQUD","trial_2","8",82,1,9.46383333333333,"age1all"
"160","1519","No","twelve.wav","age1","allQUD","trial_2","2",83,1,9.46383333333333,"age1all"
"161","0","Jessica","","age1","allQUD","bot_check","Jessica",1,2,14.6974166666667,"age1all"
"162","0","Four","","age1","allQUD","audio_check","",3,2,14.6974166666667,"age1all"
"163","0","Empty","","age1","allQUD","comprehension_check_1","",4,2,14.6974166666667,"age1all"
"164","7618","No","none.wav","age1","allQUD","practice_trial","13",6,2,14.6974166666667,"age1all"
"165","2077","Yes","all.wav","age1","allQUD","practice_trial","13",7,2,14.6974166666667,"age1all"
"166","2589","No","all.wav","age1","allQUD","practice_trial","0",8,2,14.6974166666667,"age1all"
"167","5244","No","none.wav","age1","allQUD","practice_trial","0",9,2,14.6974166666667,"age1all"
"168","3418","No","eight.wav","age1","allQUD","trial_1","13",11,2,14.6974166666667,"age1all"
"169","5052","No","eleven.wav","age1","allQUD","trial_1","8",12,2,14.6974166666667,"age1all"
"170","3046","Yes","all.wav","age1","allQUD","trial_1","13",13,2,14.6974166666667,"age1all"
"171","2870","No","summa.wav","age1","allQUD","trial_1","0",14,2,14.6974166666667,"age1all"
"172","2797","No","five.wav","age1","allQUD","trial_1","0",15,2,14.6974166666667,"age1all"
"173","2069","Yes","all.wav","age1","allQUD","trial_1","13",16,2,14.6974166666667,"age1all"
